Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
7:11,95,-1.3790,15.6523,0.11246,12.5,13.0,13.3,14.0,14.6,15.7,17.0,17.8,19.4,20.1,21.7
8:  0,96,-1.3880,15.6810,0.11291,12.5,13.0,13.3,14.1,14.6,15.7,17.0,17.8,19.4,20.2,21.7
8:  1,97,-1.3966,15.7107,0.11335,12.6,13.0,13.3,14.1,14.6,15.7,17.0,17.9,19.5,20.2,21.8
8:  2,98,-1.4047,15.7415,0.11380,12.6,13.1,13.3,14.1,14.6,15.7,17.1,17.9,19.6,20.3,21.9
8:  3,99,-1.4125,15.7732,0.11424,12.6,13.1,13.4,14.1,14.7,15.8,17.1,18.0,19.6,20.4,22.0
8:  4,100,-1.4199,15.8058,0.11469,12.6,13.1,13.4,14.2,14.7,15.8,17.2,18.0,19.7,20.4,22.1
8:  5,101,-1.4270,15.8394,0.11513,12.6,13.1,13.4,14.2,14.7,15.8,17.2,18.1,19.8,20.5,22.2
8:  6,102,-1.4336,15.8738,0.11557,12.6,13.1,13.4,14.2,14.7,15.9,17.2,18.1,19.8,20.6,22.3
8:  7,103,-1.4398,15.9090,0.11601,12.7,13.2,13.4,14.2,14.8,15.9,17.3,18.2,19.9,20.7,22.4
8:  8,104,-1.4456,15.9451,0.11644,12.7,13.2,13.5,14.3,14.8,15.9,17.3,18.2,20.0,20.7,22.5
8:  9,105,-1.4511,15.9818,0.11688,12.7,13.2,13.5,14.3,14.8,16.0,17.4,18.3,20.0,20.8,22.6
8:10,106,-1.4561,16.0194,0.11731,12.7,13.2,13.5,14.3,14.9,16.0,17.4,18.3,20.1,20.9,22.7
8:11,107,-1.4607,16.0575,0.11774,12.8,13.3,13.5,14.4,14.9,16.1,17.5,18.4,20.2,21.0,22.8
9:  0,108,-1.4650,16.0964,0.11816,12.8,13.3,13.6,14.4,14.9,16.1,17.5,18.4,20.2,21.1,22.9
9:  1,109,-1.4688,16.1358,0.11859,12.8,13.3,13.6,14.4,15.0,16.1,17.6,18.5,20.3,21.1,23.0
9:  2,110,-1.4723,16.1759,0.11901,12.8,13.3,13.6,14.4,15.0,16.2,17.6,18.5,20.4,21.2,23.1
9:  3,111,-1.4753,16.2166,0.11943,12.8,13.4,13.6,14.5,15.0,16.2,17.7,18.6,20.5,21.3,23.2
9:  4,112,-1.4780,16.2580,0.11985,12.9,13.4,13.7,14.5,15.1,16.3,17.7,18.7,20.5,21.4,23.3
9:  5,113,-1.4803,16.2999,0.12026,12.9,13.4,13.7,14.5,15.1,16.3,17.8,18.7,20.6,21.5,23.4
9:  6,114,-1.4823,16.3425,0.12067,12.9,13.4,13.7,14.6,15.1,16.3,17.8,18.8,20.7,21.6,23.5
9:  7,115,-1.4838,16.3858,0.12108,13.0,13.5,13.8,14.6,15.2,16.4,17.9,18.8,20.7,21.6,23.6
9:  8,116,-1.4850,16.4298,0.12148,13.0,13.5,13.8,14.6,15.2,16.4,17.9,18.9,20.8,21.7,23.7
9:  9,117,-1.4859,16.4746,0.12188,13.0,13.5,13.8,14.7,15.2,16.5,18.0,18.9,20.9,21.8,23.8
9:10,118,-1.4864,16.5200,0.12228,13.0,13.6,13.9,14.7,15.3,16.5,18.0,19.0,21.0,21.9,23.9
9:11,119,-1.4866,16.5663,0.12268,13.1,13.6,13.9,14.7,15.3,16.6,18.1,19.1,21.1,22.0,24.0
10: 0,120,-1.4864,16.6133,0.12307,13.1,13.6,13.9,14.8,15.4,16.6,18.2,19.1,21.1,22.1,24.1
10: 1,121,-1.4859,16.6612,0.12346,13.1,13.6,14.0,14.8,15.4,16.7,18.2,19.2,21.2,22.2,24.2
10: 2,122,-1.4851,16.7100,0.12384,13.1,13.7,14.0,14.9,15.4,16.7,18.3,19.3,21.3,22.2,24.3
10: 3,123,-1.4839,16.7595,0.12422,13.2,13.7,14.0,14.9,15.5,16.8,18.3,19.3,21.4,22.3,24.4
10: 4,124,-1.4825,16.8100,0.12460,13.2,13.7,14.1,14.9,15.5,16.8,18.4,19.4,21.5,22.4,24.6
10: 5,125,-1.4807,16.8614,0.12497,13.2,13.8,14.1,15.0,15.6,16.9,18.5,19.5,21.5,22.5,24.7
10: 6,126,-1.4787,16.9136,0.12534,13.3,13.8,14.1,15.0,15.6,16.9,18.5,19.5,21.6,22.6,24.8
10: 7,127,-1.4763,16.9667,0.12571,13.3,13.9,14.2,15.1,15.7,17.0,18.6,19.6,21.7,22.7,24.9
10: 8,128,-1.4737,17.0208,0.12607,13.3,13.9,14.2,15.1,15.7,17.0,18.6,19.7,21.8,22.8,25.0
10: 9,129,-1.4708,17.0757,0.12643,13.4,13.9,14.2,15.1,15.8,17.1,18.7,19.8,21.9,22.9,25.1
10:10,130,-1.4677,17.1316,0.12678,13.4,14.0,14.3,15.2,15.8,17.1,18.8,19.8,22.0,23.0,25.2
10:11,131,-1.4642,17.1883,0.12713,13.4,14.0,14.3,15.2,15.9,17.2,18.8,19.9,22.1,23.1,25.3
11: 0,132,-1.4606,17.2459,0.12748,13.5,14.0,14.4,15.3,15.9,17.2,18.9,20.0,22.2,23.2,25.4
11: 1,133,-1.4567,17.3044,0.12782,13.5,14.1,14.4,15.3,16.0,17.3,19.0,20.0,22.2,23.3,25.6
11: 2,134,-1.4526,17.3637,0.12816,13.6,14.1,14.4,15.4,16.0,17.4,19.0,20.1,22.3,23.4,25.7
11: 3,135,-1.4482,17.4238,0.12849,13.6,14.2,14.5,15.4,16.1,17.4,19.1,20.2,22.4,23.5,25.8
11: 4,136,-1.4436,17.4847,0.12882,13.6,14.2,14.5,15.5,16.1,17.5,19.2,20.3,22.5,23.6,25.9
11: 5,137,-1.4389,17.5464,0.12914,13.7,14.2,14.6,15.5,16.2,17.5,19.3,20.4,22.6,23.7,26.0
11: 6,138,-1.4339,17.6088,0.12946,13.7,14.3,14.6,15.6,16.2,17.6,19.3,20.4,22.7,23.8,26.1
11: 7,139,-1.4288,17.6719,0.12978,13.7,14.3,14.7,15.6,16.3,17.7,19.4,20.5,22.8,23.9,26.2
11: 8,140,-1.4235,17.7357,0.13009,13.8,14.4,14.7,15.7,16.3,17.7,19.5,20.6,22.9,24.0,26.4
11: 9,141,-1.4180,17.8001,0.13040,13.8,14.4,14.8,15.7,16.4,17.8,19.6,20.7,23.0,24.1,26.5
11:10,142,-1.4123,17.8651,0.13070,13.9,14.5,14.8,15.8,16.4,17.9,19.6,20.8,23.1,24.2,26.6
11:11,143,-1.4065,17.9306,0.13099,13.9,14.5,14.9,15.8,16.5,17.9,19.7,20.8,23.2,24.3,26.7
12: 0,144,-1.4006,17.9966,0.13129,14.0,14.6,14.9,15.9,16.6,18.0,19.8,20.9,23.3,24.4,26.8
12: 1,145,-1.3945,18.0630,0.13158,14.0,14.6,15.0,15.9,16.6,18.1,19.9,21.0,23.4,24.5,26.9
12: 2,146,-1.3883,18.1297,0.13186,14.0,14.7,15.0,16.0,16.7,18.1,19.9,21.1,23.5,24.6,27.0
12: 3,147,-1.3819,18.1967,0.13214,14.1,14.7,15.0,16.1,16.7,18.2,20.0,21.2,23.6,24.7,27.2
12: 4,148,-1.3755,18.2639,0.13241,14.1,14.7,15.1,16.1,16.8,18.3,20.1,21.3,23.7,24.8,27.3
12: 5,149,-1.3689,18.3312,0.13268,14.2,14.8,15.1,16.2,16.8,18.3,20.2,21.3,23.8,24.9,27.4
12: 6,150,-1.3621,18.3986,0.13295,14.2,14.8,15.2,16.2,16.9,18.4,20.2,21.4,23.9,25.0,27.5
12: 7,151,-1.3553,18.4660,0.13321,14.3,14.9,15.2,16.3,17.0,18.5,20.3,21.5,23.9,25.1,27.6
12: 8,152,-1.3483,18.5333,0.13347,14.3,14.9,15.3,16.3,17.0,18.5,20.4,21.6,24.0,25.2,27.7
12: 9,153,-1.3413,18.6006,0.13372,14.3,15.0,15.3,16.4,17.1,18.6,20.5,21.7,24.1,25.3,27.8
12:10,154,-1.3341,18.6677,0.13397,14.4,15.0,15.4,16.4,17.1,18.7,20.6,21.8,24.2,25.4,27.9
12:11,155,-1.3269,18.7346,0.13421,14.4,15.1,15.4,16.5,17.2,18.7,20.6,21.8,24.3,25.5,28.0
13: 0,156,-1.3195,18.8012,0.13445,14.5,15.1,15.5,16.5,17.3,18.8,20.7,21.9,24.4,25.6,28.1
13: 1,157,-1.3121,18.8675,0.13469,14.5,15.2,15.5,16.6,17.3,18.9,20.8,22.0,24.5,25.7,28.2
13: 2,158,-1.3046,18.9335,0.13492,14.6,15.2,15.6,16.7,17.4,18.9,20.9,22.1,24.6,25.8,28.4
13: 3,159,-1.2970,18.9991,0.13514,14.6,15.3,15.6,16.7,17.4,19.0,20.9,22.2,24.7,25.9,28.5
13: 4,160,-1.2894,19.0642,0.13537,14.6,15.3,15.7,16.8,17.5,19.1,21.0,22.3,24.8,26.0,28.6
13: 5,161,-1.2816,19.1289,0.13559,14.7,15.3,15.7,16.8,17.5,19.1,21.1,22.3,24.9,26.1,28.7
13: 6,162,-1.2739,19.1931,0.13580,14.7,15.4,15.8,16.9,17.6,19.2,21.2,22.4,25.0,26.1,28.8
13: 7,163,-1.2661,19.2567,0.13601,14.8,15.4,15.8,16.9,17.7,19.3,21.2,22.5,25.1,26.2,28.9
13: 8,164,-1.2583,19.3197,0.13622,14.8,15.5,15.9,17.0,17.7,19.3,21.3,22.6,25.1,26.3,28.9
13: 9,165,-1.2504,19.3820,0.13642,14.8,15.5,15.9,17.0,17.8,19.4,21.4,22.6,25.2,26.4,29.0
13:10,166,-1.2425,19.4437,0.13662,14.9,15.6,15.9,17.1,17.8,19.4,21.4,22.7,25.3,26.5,29.1
13:11,167,-1.2345,19.5045,0.13681,14.9,15.6,16.0,17.1,17.9,19.5,21.5,22.8,25.4,26.6,29.2
14: 0,168,-1.2266,19.5647,0.13700,15.0,15.6,16.0,17.2,17.9,19.6,21.6,22.9,25.5,26.7,29.3
14: 1,169,-1.2186,19.6240,0.13719,15.0,15.7,16.1,17.2,18.0,19.6,21.6,22.9,25.6,26.8,29.4
14: 2,170,-1.2107,19.6824,0.13738,15.0,15.7,16.1,17.3,18.0,19.7,21.7,23.0,25.6,26.8,29.5
14: 3,171,-1.2027,19.7400,0.13756,15.1,15.8,16.2,17.3,18.1,19.7,21.8,23.1,25.7,26.9,29.6
14: 4,172,-1.1947,19.7966,0.13774,15.1,15.8,16.2,17.4,18.1,19.8,21.8,23.2,25.8,27.0,29.7
14: 5,173,-1.1867,19.8523,0.13791,15.1,15.8,16.2,17.4,18.2,19.9,21.9,23.2,25.9,27.1,29.7
14: 6,174,-1.1788,19.9070,0.13808,15.2,15.9,16.3,17.4,18.2,19.9,22.0,23.3,25.9,27.1,29.8
14: 7,175,-1.1708,19.9607,0.13825,15.2,15.9,16.3,17.5,18.3,20.0,22.0,23.4,26.0,27.2,29.9
14: 8,176,-1.1629,20.0133,0.13841,15.2,15.9,16.4,17.5,18.3,20.0,22.1,23.4,26.1,27.3,30.0
14: 9,177,-1.1549,20.0648,0.13858,15.3,16.0,16.4,17.6,18.4,20.1,22.2,23.5,26.1,27.4,30.0
14:10,178,-1.1470,20.1152,0.13873,15.3,16.0,16.4,17.6,18.4,20.1,22.2,23.5,26.2,27.4,30.1
14:11,179,-1.1390,20.1644,0.13889,15.3,16.0,16.5,17.6,18.4,20.2,22.3,23.6,26.3,27.5,30.2
15: 0,180,-1.1311,20.2125,0.13904,15.3,16.1,16.5,17.7,18.5,20.2,22.3,23.7,26.3,27.6,30.2
15: 1,181,-1.1232,20.2595,0.13920,15.4,16.1,16.5,17.7,18.5,20.3,22.4,23.7,26.4,27.6,30.3
15: 2,182,-1.1153,20.3053,0.13934,15.4,16.1,16.6,17.8,18.6,20.3,22.4,23.8,26.5,27.7,30.4
15: 3,183,-1.1074,20.3499,0.13949,15.4,16.2,16.6,17.8,18.6,20.4,22.5,23.8,26.5,27.7,30.4
15: 4,184,-1.0996,20.3934,0.13963,15.4,16.2,16.6,17.8,18.6,20.4,22.5,23.9,26.6,27.8,30.5
15: 5,185,-1.0917,20.4357,0.13977,15.5,16.2,16.6,17.9,18.7,20.4,22.6,23.9,26.6,27.9,30.5
15: 6,186,-1.0838,20.4769,0.13991,15.5,16.2,16.7,17.9,18.7,20.5,22.6,24.0,26.7,27.9,30.6
15: 7,187,-1.0760,20.5170,0.14005,15.5,16.3,16.7,17.9,18.8,20.5,22.7,24.0,26.7,28.0,30.6
15: 8,188,-1.0681,20.5560,0.14018,15.5,16.3,16.7,18.0,18.8,20.6,22.7,24.1,26.8,28.0,30.7
15: 9,189,-1.0603,20.5938,0.14031,15.6,16.3,16.8,18.0,18.8,20.6,22.8,24.1,26.8,28.1,30.7
15:10,190,-1.0525,20.6306,0.14044,15.6,16.3,16.8,18.0,18.8,20.6,22.8,24.2,26.9,28.1,30.8
15:11,191,-1.0447,20.6663,0.14057,15.6,16.4,16.8,18.0,18.9,20.7,22.8,24.2,26.9,28.2,30.8
16: 0,192,-1.0368,20.7008,0.14070,15.6,16.4,16.8,18.1,18.9,20.7,22.9,24.2,27.0,28.2,30.9
16: 1,193,-1.0290,20.7344,0.14082,15.6,16.4,16.8,18.1,18.9,20.7,22.9,24.3,27.0,28.2,30.9
16: 2,194,-1.0212,20.7668,0.14094,15.7,16.4,16.9,18.1,19.0,20.8,23.0,24.3,27.1,28.3,31.0
16: 3,195,-1.0134,20.7982,0.14106,15.7,16.4,16.9,18.1,19.0,20.8,23.0,24.4,27.1,28.3,31.0
16: 4,196,-1.0055,20.8286,0.14118,15.7,16.5,16.9,18.2,19.0,20.8,23.0,24.4,27.1,28.4,31.0
16: 5,197,-0.9977,20.8580,0.14130,15.7,16.5,16.9,18.2,19.0,20.9,23.1,24.4,27.2,28.4,31.1
16: 6,198,-0.9898,20.8863,0.14142,15.7,16.5,16.9,18.2,19.1,20.9,23.1,24.5,27.2,28.4,31.1
16: 7,199,-0.9819,20.9137,0.14153,15.7,16.5,17.0,18.2,19.1,20.9,23.1,24.5,27.2,28.5,31.1
16: 8,200,-0.9740,20.9401,0.14164,15.7,16.5,17.0,18.3,19.1,20.9,23.1,24.5,27.3,28.5,31.2
16: 9,201,-0.9661,20.9656,0.14176,15.7,16.5,17.0,18.3,19.1,21.0,23.2,24.6,27.3,28.5,31.2
16:10,202,-0.9582,20.9901,0.14187,15.8,16.6,17.0,18.3,19.2,21.0,23.2,24.6,27.3,28.6,31.2
16:11,203,-0.9503,21.0138,0.14198,15.8,16.6,17.0,18.3,19.2,21.0,23.2,24.6,27.4,28.6,31.2
17: 0,204,-0.9423,21.0367,0.14208,15.8,16.6,17.0,18.3,19.2,21.0,23.3,24.7,27.4,28.6,31.3
17: 1,205,-0.9344,21.0587,0.14219,15.8,16.6,17.0,18.3,19.2,21.1,23.3,24.7,27.4,28.6,31.3
17: 2,206,-0.9264,21.0801,0.14230,15.8,16.6,17.1,18.4,19.2,21.1,23.3,24.7,27.4,28.7,31.3
17: 3,207,-0.9184,21.1007,0.14240,15.8,16.6,17.1,18.4,19.2,21.1,23.3,24.7,27.5,28.7,31.3
17: 4,208,-0.9104,21.1206,0.14250,15.8,16.6,17.1,18.4,19.3,21.1,23.4,24.8,27.5,28.7,31.3
17: 5,209,-0.9024,21.1399,0.14261,15.8,16.6,17.1,18.4,19.3,21.1,23.4,24.8,27.5,28.7,31.4
17: 6,210,-0.8944,21.1586,0.14271,15.8,16.6,17.1,18.4,19.3,21.2,23.4,24.8,27.5,28.8,31.4
17: 7,211,-0.8863,21.1768,0.14281,15.8,16.6,17.1,18.4,19.3,21.2,23.4,24.8,27.6,28.8,31.4
17: 8,212,-0.8783,21.1944,0.14291,15.8,16.7,17.1,18.4,19.3,21.2,23.4,24.8,27.6,28.8,31.4
17: 9,213,-0.8703,21.2116,0.14301,15.8,16.7,17.1,18.5,19.3,21.2,23.5,24.9,27.6,28.8,31.4
17:10,214,-0.8623,21.2282,0.14311,15.8,16.7,17.1,18.5,19.3,21.2,23.5,24.9,27.6,28.8,31.4
17:11,215,-0.8542,21.2444,0.14320,15.8,16.7,17.1,18.5,19.4,21.2,23.5,24.9,27.6,28.9,31.4
18: 0,216,-0.8462,21.2603,0.14330,15.9,16.7,17.1,18.5,19.4,21.3,23.5,24.9,27.7,28.9,31.5
18: 1,217,-0.8382,21.2757,0.14340,15.9,16.7,17.2,18.5,19.4,21.3,23.5,24.9,27.7,28.9,31.5
18: 2,218,-0.8301,21.2908,0.14349,15.9,16.7,17.2,18.5,19.4,21.3,23.6,25.0,27.7,28.9,31.5
18: 3,219,-0.8221,21.3055,0.14359,15.9,16.7,17.2,18.5,19.4,21.3,23.6,25.0,27.7,28.9,31.5
18: 4,220,-0.8140,21.3200,0.14368,15.9,16.7,17.2,18.5,19.4,21.3,23.6,25.0,27.7,28.9,31.5
18: 5,221,-0.8060,21.3341,0.14377,15.9,16.7,17.2,18.5,19.4,21.3,23.6,25.0,27.7,28.9,31.5
18: 6,222,-0.7980,21.3480,0.14386,15.9,16.7,17.2,18.5,19.4,21.3,23.6,25.0,27.7,29.0,31.5
18: 7,223,-0.7899,21.3617,0.14396,15.9,16.7,17.2,18.6,19.5,21.4,23.6,25.0,27.8,29.0,31.5
18: 8,224,-0.7819,21.3752,0.14405,15.9,16.7,17.2,18.6,19.5,21.4,23.6,25.1,27.8,29.0,31.5
18: 9,225,-0.7738,21.3884,0.14414,15.9,16.7,17.2,18.6,19.5,21.4,23.7,25.1,27.8,29.0,31.5
18:10,226,-0.7658,21.4014,0.14423,15.9,16.7,17.2,18.6,19.5,21.4,23.7,25.1,27.8,29.0,31.5
18:11,227,-0.7577,21.4143,0.14432,15.9,16.7,17.2,18.6,19.5,21.4,23.7,25.1,27.8,29.0,31.5
19: 0,228,-0.7496,21.4269,0.14441,15.9,16.7,17.2,18.6,19.5,21.4,23.7,25.1,27.8,29.0,31.6
