Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
11:9,141,-1.7828,17.3752,0.11415,14.0,14.5,14.8,15.6,16.2,17.4,18.9,19.8,21.8,22.8,24.9
11:10,142,-1.7806,17.4272,0.11451,14.0,14.5,14.8,15.6,16.2,17.4,18.9,19.9,21.9,22.9,25.0
11:11,143,-1.7780,17.4799,0.11487,14.0,14.6,14.9,15.7,16.3,17.5,19.0,20.0,22.0,23.0,25.1
12:0,144,-1.7751,17.5334,0.11522,14.1,14.6,14.9,15.7,16.3,17.5,19.1,20.1,22.1,23.1,25.2
12:1,145,-1.7719,17.5877,0.11556,14.1,14.6,14.9,15.8,16.3,17.6,19.1,20.1,22.2,23.1,25.3
12:2,146,-1.7684,17.6427,0.11590,14.2,14.7,15.0,15.8,16.4,17.6,19.2,20.2,22.3,23.2,25.4
12:3,147,-1.7645,17.6985,0.11623,14.2,14.7,15.0,15.9,16.4,17.7,19.3,20.3,22.3,23.3,25.6
12:4,148,-1.7604,17.7551,0.11656,14.2,14.8,15.1,15.9,16.5,17.8,19.3,20.3,22.4,23.4,25.7
12:5,149,-1.7559,17.8124,0.11688,14.3,14.8,15.1,16.0,16.5,17.8,19.4,20.4,22.5,23.5,25.8
12:6,150,-1.7511,17.8704,0.11720,14.3,14.8,15.1,16.0,16.6,17.9,19.5,20.5,22.6,23.6,25.9
12:7,151,-1.7461,17.9292,0.11751,14.3,14.9,15.2,16.1,16.6,17.9,19.5,20.6,22.7,23.7,26.0
12:8,152,-1.7408,17.9887,0.11781,14.4,14.9,15.2,16.1,16.7,18.0,19.6,20.6,22.8,23.8,26.1
12:9,153,-1.7352,18.0488,0.11811,14.4,15.0,15.3,16.2,16.8,18.0,19.7,20.7,22.9,23.9,26.2
12:10,154,-1.7293,18.1096,0.11841,14.5,15.0,15.3,16.2,16.8,18.1,19.7,20.8,23.0,24.0,26.3
12:11,155,-1.7232,18.1710,0.11869,14.5,15.0,15.4,16.3,16.9,18.2,19.8,20.9,23.1,24.1,26.4
13:0,156,-1.7168,18.2330,0.11898,14.5,15.1,15.4,16.3,16.9,18.2,19.9,20.9,23.1,24.2,26.5
13:1,157,-1.7102,18.2955,0.11925,14.6,15.1,15.4,16.4,17.0,18.3,19.9,21.0,23.2,24.3,26.7
13:2,158,-1.7033,18.3586,0.11952,14.6,15.2,15.5,16.4,17.0,18.4,20.0,21.1,23.3,24.4,26.8
13:3,159,-1.6962,18.4221,0.11979,14.7,15.2,15.5,16.5,17.1,18.4,20.1,21.2,23.4,24.5,26.9
13:4,160,-1.6888,18.4860,0.12005,14.7,15.3,15.6,16.5,17.1,18.5,20.2,21.3,23.5,24.6,27.0
13:5,161,-1.6811,18.5502,0.12030,14.7,15.3,15.6,16.6,17.2,18.6,20.2,21.3,23.6,24.7,27.1
13:6,162,-1.6732,18.6148,0.12055,14.8,15.4,15.7,16.6,17.2,18.6,20.3,21.4,23.7,24.8,27.2
13:7,163,-1.6651,18.6795,0.12079,14.8,15.4,15.7,16.7,17.3,18.7,20.4,21.5,23.8,24.9,27.3
13:8,164,-1.6568,18.7445,0.12102,14.9,15.5,15.8,16.7,17.4,18.7,20.5,21.6,23.9,24.9,27.4
13:9,165,-1.6482,18.8095,0.12125,14.9,15.5,15.8,16.8,17.4,18.8,20.5,21.7,24.0,25.0,27.5
13:10,166,-1.6394,18.8746,0.12148,15.0,15.5,15.9,16.8,17.5,18.9,20.6,21.7,24.0,25.1,27.6
13:11,167,-1.6304,18.9398,0.12170,15.0,15.6,15.9,16.9,17.5,18.9,20.7,21.8,24.1,25.2,27.7
14:0,168,-1.6211,19.0050,0.12191,15.1,15.6,16.0,16.9,17.6,19.0,20.8,21.9,24.2,25.3,27.8
14:1,169,-1.6116,19.0701,0.12212,15.1,15.7,16.0,17.0,17.7,19.1,20.8,22.0,24.3,25.4,27.9
14:2,170,-1.6020,19.1351,0.12233,15.1,15.7,16.1,17.0,17.7,19.1,20.9,22.0,24.4,25.5,28.0
14:3,171,-1.5921,19.2000,0.12253,15.2,15.8,16.1,17.1,17.8,19.2,21.0,22.1,24.5,25.6,28.1
14:4,172,-1.5821,19.2648,0.12272,15.2,15.8,16.2,17.2,17.8,19.3,21.1,22.2,24.6,25.7,28.2
14:5,173,-1.5719,19.3294,0.12291,15.3,15.9,16.2,17.2,17.9,19.3,21.1,22.3,24.7,25.8,28.3
14:6,174,-1.5615,19.3937,0.12310,15.3,15.9,16.3,17.3,17.9,19.4,21.2,22.4,24.7,25.8,28.3
14:7,175,-1.5510,19.4578,0.12328,15.3,16.0,16.3,17.3,18.0,19.5,21.3,22.4,24.8,25.9,28.4
14:8,176,-1.5403,19.5217,0.12346,15.4,16.0,16.4,17.4,18.1,19.5,21.3,22.5,24.9,26.0,28.5
14:9,177,-1.5294,19.5853,0.12363,15.4,16.1,16.4,17.4,18.1,19.6,21.4,22.6,25.0,26.1,28.6
14:10,178,-1.5185,19.6486,0.12380,15.5,16.1,16.5,17.5,18.2,19.6,21.5,22.7,25.1,26.2,28.7
14:11,179,-1.5074,19.7117,0.12396,15.5,16.1,16.5,17.5,18.2,19.7,21.6,22.7,25.1,26.3,28.8
15:0,180,-1.4961,19.7744,0.12412,15.6,16.2,16.5,17.6,18.3,19.8,21.6,22.8,25.2,26.4,28.9
15:1,181,-1.4848,19.8367,0.12428,15.6,16.2,16.6,17.6,18.3,19.8,21.7,22.9,25.3,26.4,28.9
15:2,182,-1.4733,19.8987,0.12443,15.6,16.3,16.6,17.7,18.4,19.9,21.8,23.0,25.4,26.5,29.0
15:3,183,-1.4617,19.9603,0.12458,15.7,16.3,16.7,17.7,18.4,20.0,21.8,23.0,25.5,26.6,29.1
15:4,184,-1.4500,20.0215,0.12473,15.7,16.4,16.7,17.8,18.5,20.0,21.9,23.1,25.5,26.7,29.2
15:5,185,-1.4382,20.0823,0.12487,15.8,16.4,16.8,17.8,18.5,20.1,22.0,23.2,25.6,26.7,29.3
15:6,186,-1.4263,20.1427,0.12501,15.8,16.4,16.8,17.9,18.6,20.1,22.0,23.2,25.7,26.8,29.3
15:7,187,-1.4143,20.2026,0.12514,15.8,16.5,16.9,17.9,18.7,20.2,22.1,23.3,25.8,26.9,29.4
15:8,188,-1.4022,20.2621,0.12528,15.9,16.5,16.9,18.0,18.7,20.3,22.2,23.4,25.8,27.0,29.5
15:9,189,-1.3900,20.3211,0.12541,15.9,16.6,17.0,18.0,18.8,20.3,22.2,23.5,25.9,27.0,29.5
15:10,190,-1.3777,20.3796,0.12554,15.9,16.6,17.0,18.1,18.8,20.4,22.3,23.5,26.0,27.1,29.6
15:11,191,-1.3653,20.4376,0.12567,16.0,16.7,17.0,18.1,18.9,20.4,22.4,23.6,26.1,27.2,29.7
16:0,192,-1.3529,20.4951,0.12579,16.0,16.7,17.1,18.2,18.9,20.5,22.4,23.7,26.1,27.3,29.7
16:1,193,-1.3403,20.5521,0.12591,16.1,16.7,17.1,18.2,19.0,20.6,22.5,23.7,26.2,27.3,29.8
16:2,194,-1.3277,20.6085,0.12603,16.1,16.8,17.2,18.3,19.0,20.6,22.6,23.8,26.3,27.4,29.9
16:3,195,-1.3149,20.6644,0.12615,16.1,16.8,17.2,18.3,19.1,20.7,22.6,23.9,26.3,27.5,29.9
16:4,196,-1.3021,20.7197,0.12627,16.2,16.8,17.2,18.4,19.1,20.7,22.7,23.9,26.4,27.5,30.0
16:5,197,-1.2892,20.7745,0.12638,16.2,16.9,17.3,18.4,19.2,20.8,22.7,24.0,26.5,27.6,30.1
16:6,198,-1.2762,20.8287,0.12650,16.2,16.9,17.3,18.5,19.2,20.8,22.8,24.0,26.5,27.7,30.1
16:7,199,-1.2631,20.8824,0.12661,16.3,17.0,17.4,18.5,19.3,20.9,22.9,24.1,26.6,27.7,30.2
16:8,200,-1.2499,20.9355,0.12672,16.3,17.0,17.4,18.5,19.3,20.9,22.9,24.2,26.7,27.8,30.2
16:9,201,-1.2366,20.9881,0.12683,16.3,17.0,17.4,18.6,19.3,21.0,23.0,24.2,26.7,27.8,30.3
16:10,202,-1.2233,21.0400,0.12694,16.4,17.1,17.5,18.6,19.4,21.0,23.0,24.3,26.8,27.9,30.4
16:11,203,-1.2098,21.0914,0.12704,16.4,17.1,17.5,18.7,19.4,21.1,23.1,24.3,26.8,28.0,30.4
17:0,204,-1.1962,21.1423,0.12715,16.4,17.1,17.5,18.7,19.5,21.1,23.1,24.4,26.9,28.0,30.5
17:1,205,-1.1826,21.1925,0.12726,16.4,17.2,17.6,18.7,19.5,21.2,23.2,24.5,27.0,28.1,30.5
17:2,206,-1.1688,21.2423,0.12736,16.5,17.2,17.6,18.8,19.6,21.2,23.3,24.5,27.0,28.1,30.6
17:3,207,-1.1550,21.2914,0.12746,16.5,17.2,17.6,18.8,19.6,21.3,23.3,24.6,27.1,28.2,30.6
17:4,208,-1.1410,21.3400,0.12756,16.5,17.3,17.7,18.9,19.7,21.3,23.4,24.6,27.1,28.2,30.7
17:5,209,-1.1270,21.3880,0.12767,16.6,17.3,17.7,18.9,19.7,21.4,23.4,24.7,27.2,28.3,30.7
17:6,210,-1.1129,21.4354,0.12777,16.6,17.3,17.7,18.9,19.7,21.4,23.5,24.7,27.2,28.4,30.8
17:7,211,-1.0986,21.4822,0.12787,16.6,17.4,17.8,19.0,19.8,21.5,23.5,24.8,27.3,28.4,30.8
17:8,212,-1.0843,21.5285,0.12797,16.6,17.4,17.8,19.0,19.8,21.5,23.6,24.8,27.3,28.5,30.8
17:9,213,-1.0699,21.5742,0.12807,16.7,17.4,17.8,19.1,19.9,21.6,23.6,24.9,27.4,28.5,30.9
17:10,214,-1.0553,21.6193,0.12816,16.7,17.4,17.9,19.1,19.9,21.6,23.7,24.9,27.4,28.6,30.9
17:11,215,-1.0407,21.6638,0.12826,16.7,17.5,17.9,19.1,19.9,21.7,23.7,25.0,27.5,28.6,31.0
18:0,216,-1.0260,21.7077,0.12836,16.7,17.5,17.9,19.2,20.0,21.7,23.8,25.0,27.5,28.6,31.0
18:1,217,-1.0112,21.7510,0.12845,16.8,17.5,18.0,19.2,20.0,21.8,23.8,25.1,27.6,28.7,31.0
18:2,218,-0.9962,21.7937,0.12855,16.8,17.5,18.0,19.2,20.1,21.8,23.9,25.1,27.6,28.7,31.1
18:3,219,-0.9812,21.8358,0.12864,16.8,17.6,18.0,19.3,20.1,21.8,23.9,25.2,27.7,28.8,31.1
18:4,220,-0.9661,21.8773,0.12874,16.8,17.6,18.0,19.3,20.1,21.9,24.0,25.2,27.7,28.8,31.2
18:5,221,-0.9509,21.9182,0.12883,16.8,17.6,18.1,19.3,20.2,21.9,24.0,25.3,27.8,28.9,31.2
18:6,222,-0.9356,21.9585,0.12893,16.9,17.6,18.1,19.4,20.2,22.0,24.0,25.3,27.8,28.9,31.2
18:7,223,-0.9202,21.9982,0.12902,16.9,17.7,18.1,19.4,20.2,22.0,24.1,25.4,27.9,29.0,31.3
18:8,224,-0.9048,22.0374,0.12911,16.9,17.7,18.1,19.4,20.3,22.0,24.1,25.4,27.9,29.0,31.3
18:9,225,-0.8892,22.0760,0.12920,16.9,17.7,18.2,19.5,20.3,22.1,24.2,25.5,27.9,29.0,31.3
18:10,226,-0.8735,22.1140,0.12930,16.9,17.7,18.2,19.5,20.3,22.1,24.2,25.5,28.0,29.1,31.3
18:11,227,-0.8578,22.1514,0.12939,16.9,17.8,18.2,19.5,20.4,22.2,24.3,25.5,28.0,29.1,31.4
19:0,228,-0.8419,22.1883,0.12948,17.0,17.8,18.2,19.5,20.4,22.2,24.3,25.6,28.1,29.1,31.4
