Year: Month,Months,3rdd,15thh,Mediann,85thh,97thh
14: 11,179,148.6,154.4,161.6,168.7,174.5
15: 0,180,148.7,154.5,161.7,168.8,174.6
15: 1,181,148.8,154.6,161.8,168.9,174.7
15: 2,182,149.0,154.8,161.9,169.0,174.8
15: 3,183,149.1,154.8,162.0,169.1,174.9
15: 4,184,149.2,154.9,162.0,169.1,174.9
15: 5,185,149.2,155.0,162.1,169.2,175.0
15: 6,186,149.3,155.1,162.2,169.3,175.0
15: 7,187,149.4,155.2,162.3,169.3,175.1
15: 8,188,149.5,155.2,162.3,169.4,175.1
15: 9,189,149.6,155.3,162.4,169.4,175.2
15: 10,190,149.6,155.4,162.4,169.5,175.2
15: 11,191,149.7,155.4,162.5,169.5,175.3
16: 0,192,149.8,155.5,162.5,169.6,175.3
16: 1,193,149.8,155.5,162.6,169.6,175.3
16: 2,194,149.9,155.6,162.6,169.6,175.3
16: 3,195,149.9,155.6,162.6,169.6,175.3
16: 4,196,150.0,155.7,162.7,169.7,175.4
16: 5,197,150.0,155.7,162.7,169.7,175.4
16: 6,198,150.0,155.7,162.7,169.7,175.4
16: 7,199,150.1,155.8,162.7,169.7,175.4
16: 8,200,150.1,155.8,162.8,169.7,175.4
16: 9,201,150.2,155.8,162.8,169.8,175.4
16: 10,202,150.2,155.9,162.8,169.8,175.4
16: 11,203,150.2,155.9,162.8,169.8,175.4
17: 0,204,150.3,155.9,162.9,169.8,175.4
17: 1,205,150.3,155.9,162.9,169.8,175.4
17: 2,206,150.3,156.0,162.9,169.8,175.5
17: 3,207,150.4,156.0,162.9,169.8,175.5
17: 4,208,150.4,156.0,162.9,169.8,175.5
17: 5,209,150.4,156.1,162.9,169.8,175.5
17: 6,210,150.5,156.1,163.0,169.9,175.5
17: 7,211,150.5,156.1,163.0,169.9,175.5
17: 8,212,150.5,156.1,163.0,169.9,175.5
17: 9,213,150.5,156.1,163.0,169.9,175.5
17: 10,214,150.6,156.2,163.0,169.9,175.5
17: 11,215,150.6,156.2,163.0,169.9,175.5
18: 0,216,150.6,156.2,163.1,169.9,175.5
18: 1,217,150.7,156.2,163.1,169.9,175.5
18: 2,218,150.7,156.2,163.1,169.9,175.5
18: 3,219,150.7,156.3,163.1,169.9,175.5
18: 4,220,150.7,156.3,163.1,169.9,175.5
18: 5,221,150.7,156.3,163.1,169.9,175.5
18: 6,222,150.8,156.3,163.1,169.9,175.5
18: 7,223,150.8,156.3,163.1,169.9,175.5
18: 8,224,150.8,156.3,163.1,169.9,175.5
18: 9,225,150.8,156.4,163.1,169.9,175.5
18: 10,226,150.8,156.4,163.2,169.9,175.5
18: 11,227,150.8,156.4,163.2,169.9,175.5
19: 0,228,150.9,156.4,163.2,169.9,175.5
