Year: Month,Month,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
6:  8,80,-0.5240,21.5979,0.15339,14.3,16.3,18.6,21.6,25.3,30.2,36.6
6:  9,81,-0.5268,21.7872,0.15393,14.4,16.4,18.8,21.8,25.6,30.5,37.0
6:10,82,-0.5294,21.9795,0.15448,14.5,16.5,18.9,22.0,25.8,30.8,37.4
6:11,83,-0.5321,22.1751,0.15502,14.6,16.6,19.1,22.2,26.1,31.1,37.8
7:  0,84,-0.5347,22.3740,0.15556,14.8,16.8,19.3,22.4,26.3,31.4,38.3
7:  1,85,-0.5372,22.5762,0.15610,14.9,16.9,19.4,22.6,26.6,31.8,38.7
7:  2,86,-0.5398,22.7816,0.15663,15.0,17.1,19.6,22.8,26.8,32.1,39.2
7:  3,87,-0.5423,22.9904,0.15717,15.1,17.2,19.8,23.0,27.1,32.5,39.6
7:  4,88,-0.5447,23.2025,0.15770,15.2,17.3,19.9,23.2,27.4,32.8,40.1
7:  5,89,-0.5471,23.4180,0.15823,15.4,17.5,20.1,23.4,27.6,33.1,40.6
7:  6,90,-0.5495,23.6369,0.15876,15.5,17.6,20.3,23.6,27.9,33.5,41.1
7:  7,91,-0.5518,23.8593,0.15928,15.6,17.8,20.5,23.9,28.2,33.9,41.5
7:  8,92,-0.5541,24.0853,0.15980,15.7,17.9,20.7,24.1,28.5,34.2,42.0
7:  9,93,-0.5563,24.3149,0.16032,15.9,18.1,20.9,24.3,28.8,34.6,42.6
7:10,94,-0.5585,24.5482,0.16084,16.0,18.3,21.0,24.5,29.1,35.0,43.1
7:11,95,-0.5606,24.7853,0.16135,16.2,18.4,21.2,24.8,29.4,35.4,43.6
8:  0,96,-0.5627,25.0262,0.16186,16.3,18.6,21.4,25.0,29.7,35.8,44.1
8:  1,97,-0.5647,25.2710,0.16237,16.4,18.8,21.6,25.3,30.0,36.2,44.7
8:  2,98,-0.5667,25.5197,0.16287,16.6,18.9,21.8,25.5,30.3,36.6,45.2
8:  3,99,-0.5686,25.7721,0.16337,16.7,19.1,22.0,25.8,30.6,37.0,45.8
8:  4,100,-0.5704,26.0284,0.16386,16.9,19.3,22.3,26.0,30.9,37.4,46.3
8:  5,101,-0.5722,26.2883,0.16435,17.0,19.5,22.5,26.3,31.2,37.8,46.9
8:  6,102,-0.5740,26.5519,0.16483,17.2,19.6,22.7,26.6,31.6,38.3,47.5
8:  7,103,-0.5757,26.8190,0.16532,17.3,19.8,22.9,26.8,31.9,38.7,48.1
8:  8,104,-0.5773,27.0896,0.16579,17.5,20.0,23.1,27.1,32.2,39.1,48.7
8:  9,105,-0.5789,27.3635,0.16626,17.7,20.2,23.3,27.4,32.6,39.6,49.3
8:10,106,-0.5804,27.6406,0.16673,17.8,20.4,23.6,27.6,32.9,40.0,49.9
8:11,107,-0.5819,27.9208,0.16719,18.0,20.6,23.8,27.9,33.3,40.5,50.5
9:  0,108,-0.5833,28.2040,0.16764,18.1,20.8,24.0,28.2,33.6,41.0,51.1
9:  1,109,-0.5847,28.4901,0.16809,18.3,21.0,24.3,28.5,34.0,41.4,51.8
9:  2,110,-0.5859,28.7791,0.16854,18.5,21.2,24.5,28.8,34.4,41.9,52.4
9:  3,111,-0.5872,29.0711,0.16897,18.7,21.4,24.7,29.1,34.7,42.4,53.1
9:  4,112,-0.5883,29.3663,0.16941,18.8,21.6,25.0,29.4,35.1,42.9,53.7
9:  5,113,-0.5895,29.6646,0.16983,19.0,21.8,25.2,29.7,35.5,43.3,54.4
9:  6,114,-0.5905,29.9663,0.17025,19.2,22.0,25.5,30.0,35.9,43.8,55.0
9:  7,115,-0.5915,30.2715,0.17066,19.4,22.2,25.7,30.3,36.2,44.3,55.7
9:  8,116,-0.5925,30.5805,0.17107,19.5,22.4,26.0,30.6,36.6,44.8,56.4
9:  9,117,-0.5934,30.8934,0.17146,19.7,22.6,26.2,30.9,37.0,45.3,57.1
9:10,118,-0.5942,31.2105,0.17186,19.9,22.8,26.5,31.2,37.4,45.8,57.8
9:11,119,-0.5950,31.5319,0.17224,20.1,23.0,26.8,31.5,37.8,46.4,58.5
10: 0,120,-0.5958,31.8578,0.17262,20.3,23.3,27.0,31.9,38.2,46.9,59.2
